game_id,game_date,game_date_time,home_team,away_team,home_team_id,away_team_id,home_score,away_score,state,venue,game_type
632219,2021-04-12,2021-04-12T23:20:00Z,Atlanta Braves,Miami Marlins,144,146,3,5,Final,Truist Park,R
632221,2021-04-12,2021-04-12T23:40:00Z,Milwaukee Brewers,Chicago Cubs,158,112,6,3,Final,American Family Field,R
632230,2021-04-12,2021-04-12T23:45:00Z,St. Louis Cardinals,Washington Nationals,138,120,2,5,Final,Busch Stadium,R
632220,2021-04-12,2021-04-13T00:10:00Z,Houston Astros,Detroit Tigers,117,116,2,6,Final,Minute Maid Park,R
632197,2021-04-12,2021-04-13T00:10:00Z,Kansas City Royals,Los Angeles Angels,118,108,3,10,Final,Kauffman Stadium,R
632216,2021-04-12,2021-04-13T00:10:00Z,Chicago White Sox,Cleveland Indians,145,114,4,3,Final,Guaranteed Rate Field,R
632231,2021-04-12,2021-04-13T01:40:00Z,Arizona Diamondbacks,Oakland Athletics,109,133,5,9,Final,Chase Field,R
634648,2021-04-12,2021-04-13T01:45:00Z,San Francisco Giants,Cincinnati Reds,137,113,0,3,Final,Oracle Park,R
632223,2021-04-12,2021-04-12T18:10:00Z,Minnesota Twins,Boston Red Sox,142,111,,,Postponed,Target Field,R
632224,2021-04-12,2021-04-12T23:05:00Z,Baltimore Orioles,Seattle Mariners,110,136,,,Postponed,Oriole Park at Camden Yards,R
632226,2021-04-12,2021-04-12T23:10:00Z,New York Mets,Philadelphia Phillies,121,143,,,Postponed,Citi Field,R
632190,2021-04-13,2021-04-13T18:10:00Z,Minnesota Twins,Boston Red Sox,142,111,2,4,Final,Target Field,R
632206,2021-04-13,2021-04-13T19:40:00Z,Arizona Diamondbacks,Oakland Athletics,109,133,5,7,Final,Chase Field,R
632213,2021-04-13,2021-04-13T20:05:00Z,Baltimore Orioles,Seattle Mariners,110,136,3,4,Final,Oriole Park at Camden Yards,R
632224,2021-04-13,2021-04-13T20:10:00Z,Baltimore Orioles,Seattle Mariners,110,136,7,6,Final,Oriole Park at Camden Yards,R
632189,2021-04-13,2021-04-13T20:10:00Z,New York Mets,Philadelphia Phillies,121,143,4,3,Final,Citi Field,R
632226,2021-04-13,2021-04-13T20:15:00Z,New York Mets,Philadelphia Phillies,121,143,4,0,Final,Citi Field,R
634535,2021-04-13,2021-04-13T22:35:00Z,Pittsburgh Pirates,San Diego Padres,134,135,8,4,Final,PNC Park,R
634569,2021-04-13,2021-04-13T23:07:00Z,Toronto Blue Jays,New York Yankees,141,147,7,3,Final,TD Ballpark,R
634489,2021-04-13,2021-04-13T23:10:00Z,Tampa Bay Rays,Texas Rangers,139,140,3,8,Final,Tropicana Field,R
632211,2021-04-13,2021-04-13T23:20:00Z,Atlanta Braves,Miami Marlins,144,146,8,14,Final,Truist Park,R
632194,2021-04-13,2021-04-13T23:40:00Z,Milwaukee Brewers,Chicago Cubs,158,112,2,3,Final,American Family Field,R
634502,2021-04-13,2021-04-13T23:45:00Z,St. Louis Cardinals,Washington Nationals,138,120,14,3,Final,Busch Stadium,R
632229,2021-04-13,2021-04-14T00:10:00Z,Houston Astros,Detroit Tigers,117,116,2,8,Final,Minute Maid Park,R
632210,2021-04-13,2021-04-14T00:10:00Z,Kansas City Royals,Los Angeles Angels,118,108,3,2,Final,Kauffman Stadium,R
632199,2021-04-13,2021-04-14T00:10:00Z,Chicago White Sox,Cleveland Indians,145,114,0,2,Final,Guaranteed Rate Field,R
634510,2021-04-13,2021-04-14T01:45:00Z,San Francisco Giants,Cincinnati Reds,137,113,7,6,Final,Oracle Park,R
632212,2021-04-13,2021-04-14T02:10:00Z,Los Angeles Dodgers,Colorado Rockies,119,115,7,0,Final,Dodger Stadium,R
634513,2021-04-14,2021-04-14T17:07:00Z,Toronto Blue Jays,New York Yankees,141,147,5,4,Final,TD Ballpark,R
634541,2021-04-14,2021-04-14T17:15:00Z,St. Louis Cardinals,Washington Nationals,138,120,0,6,Final,Busch Stadium,R
634553,2021-04-14,2021-04-14T17:40:00Z,Milwaukee Brewers,Chicago Cubs,158,112,7,0,Final,American Family Field,R
634495,2021-04-14,2021-04-14T18:10:00Z,Kansas City Royals,Los Angeles Angels,118,108,6,1,Final,Kauffman Stadium,R
634574,2021-04-14,2021-04-14T18:10:00Z,Minnesota Twins,Boston Red Sox,142,111,2,3,Final,Target Field,R
632223,2021-04-14,2021-04-14T18:15:00Z,Minnesota Twins,Boston Red Sox,142,111,1,7,Final,Target Field,R
634582,2021-04-14,2021-04-14T19:45:00Z,San Francisco Giants,Cincinnati Reds,137,113,3,0,Final,Oracle Park,R
634523,2021-04-14,2021-04-14T22:35:00Z,Pittsburgh Pirates,San Diego Padres,134,135,5,1,Final,PNC Park,R
634521,2021-04-14,2021-04-14T23:10:00Z,Houston Astros,Detroit Tigers,117,116,4,6,Final,Minute Maid Park,R
634496,2021-04-14,2021-04-14T23:10:00Z,Tampa Bay Rays,Texas Rangers,139,140,1,5,Final,Tropicana Field,R
634528,2021-04-14,2021-04-14T23:10:00Z,New York Mets,Philadelphia Phillies,121,143,5,1,Final,Citi Field,R
634581,2021-04-14,2021-04-14T23:20:00Z,Atlanta Braves,Miami Marlins,144,146,5,6,Final,Truist Park,R
634516,2021-04-14,2021-04-15T00:10:00Z,Chicago White Sox,Cleveland Indians,145,114,8,0,Final,Guaranteed Rate Field,R
634614,2021-04-14,2021-04-15T02:10:00Z,Los Angeles Dodgers,Colorado Rockies,119,115,4,2,Final,Dodger Stadium,R
634472,2021-04-14,2021-04-14T23:05:00Z,Baltimore Orioles,Seattle Mariners,110,136,,,Postponed,Oriole Park at Camden Yards,R
634579,2021-04-15,2021-04-15T16:20:00Z,Atlanta Braves,Miami Marlins,144,146,7,6,Final,Truist Park,R
634621,2021-04-15,2021-04-15T16:35:00Z,Pittsburgh Pirates,San Diego Padres,134,135,3,8,Final,PNC Park,R
634571,2021-04-15,2021-04-15T16:35:00Z,Baltimore Orioles,Seattle Mariners,110,136,2,4,Final,Oriole Park at Camden Yards,R
634472,2021-04-15,2021-04-15T16:40:00Z,Baltimore Orioles,Seattle Mariners,110,136,1,2,Final,Oriole Park at Camden Yards,R
634554,2021-04-15,2021-04-15T17:10:00Z,Minnesota Twins,Boston Red Sox,142,111,4,3,Final,Target Field,R
634501,2021-04-15,2021-04-15T18:10:00Z,Chicago White Sox,Cleveland Indians,145,114,2,4,Final,Guaranteed Rate Field,R
634481,2021-04-15,2021-04-15T23:05:00Z,Washington Nationals,Arizona Diamondbacks,120,109,6,11,Final,Nationals Park,R
634522,2021-04-15,2021-04-15T23:10:00Z,Tampa Bay Rays,Texas Rangers,139,140,4,6,Final,Tropicana Field,R
634475,2021-04-15,2021-04-16T00:10:00Z,Kansas City Royals,Toronto Blue Jays,118,141,7,5,Final,Kauffman Stadium,R
634632,2021-04-15,2021-04-16T01:40:00Z,Oakland Athletics,Detroit Tigers,133,116,8,4,Final,Oakland Coliseum,R
634547,2021-04-15,2021-04-16T02:10:00Z,Los Angeles Dodgers,Colorado Rockies,119,115,7,5,Final,Dodger Stadium,R
634515,2021-04-15,2021-04-15T16:10:00Z,New York Mets,Philadelphia Phillies,121,143,,,Postponed,Citi Field,R
634548,2021-04-16,2021-04-16T18:20:00Z,Chicago Cubs,Atlanta Braves,112,144,2,5,Final,Wrigley Field,R
634469,2021-04-16,2021-04-16T23:05:00Z,Washington Nationals,Arizona Diamondbacks,120,109,1,0,Final,Nationals Park,R
634474,2021-04-16,2021-04-16T23:05:00Z,Philadelphia Phillies,St. Louis Cardinals,143,138,9,2,Final,Citizens Bank Park,R
634464,2021-04-16,2021-04-16T23:05:00Z,New York Yankees,Tampa Bay Rays,147,139,2,8,Final,Yankee Stadium,R
634482,2021-04-16,2021-04-16T23:10:00Z,Cincinnati Reds,Cleveland Indians,113,114,10,3,Final,Great American Ball Park,R
634519,2021-04-16,2021-04-16T23:10:00Z,Miami Marlins,San Francisco Giants,146,137,4,1,Final,loanDepot park,R
634463,2021-04-16,2021-04-17T00:05:00Z,Texas Rangers,Baltimore Orioles,140,110,2,5,Final,Globe Life Field,R
634483,2021-04-16,2021-04-17T00:10:00Z,Milwaukee Brewers,Pittsburgh Pirates,158,134,1,6,Final,American Family Field,R
634526,2021-04-16,2021-04-17T01:38:00Z,Los Angeles Angels,Minnesota Twins,108,142,10,3,Final,Angel Stadium,R
634525,2021-04-16,2021-04-17T01:40:00Z,Oakland Athletics,Detroit Tigers,133,116,3,0,Final,Oakland Coliseum,R
634531,2021-04-16,2021-04-17T02:10:00Z,San Diego Padres,Los Angeles Dodgers,135,119,6,11,Final,Petco Park,R
634517,2021-04-16,2021-04-17T02:10:00Z,Seattle Mariners,Houston Astros,136,117,6,5,Final,T-Mobile Park,R
